City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Basco,PH,2022-02-05 04:59:54,20.4487,121.9702,72.59,75,96,27.07
1,Matagami,CA,2022-02-05 04:59:54,49.7502,-77.6328,-14.69,76,20,4.61
2,Road Town,VG,2022-02-05 04:59:55,18.4167,-64.6167,73.0,76,100,17.76
3,Olinda,BR,2022-02-05 04:57:25,-8.0089,-34.8553,82.13,65,20,4.61
4,Rikitea,PF,2022-02-05 04:59:56,-23.1203,-134.9692,78.98,69,5,7.52
5,Luderitz,NA,2022-02-05 04:59:41,-26.6481,15.1594,67.64,75,94,3.38
6,Port Alfred,ZA,2022-02-05 04:59:56,-33.5906,26.891,69.4,84,96,11.9
7,Dolores,AR,2022-02-05 04:59:57,-36.3132,-57.6792,61.61,95,100,9.15
8,Dingle,PH,2022-02-05 04:59:57,10.9995,122.6711,82.47,70,83,18.01
9,Axim,GH,2022-02-05 04:59:58,4.8699,-2.2405,78.06,84,26,2.28
10,Chiang Klang,TH,2022-02-05 04:59:58,19.2938,100.8617,67.33,46,23,4.12
11,Avarua,CK,2022-02-05 04:55:04,-21.2078,-159.775,80.65,78,94,13.8
12,Albany,US,2022-02-05 05:00:00,42.6001,-73.9662,14.14,85,99,3.22
13,Milazzo,IT,2022-02-05 05:00:04,38.2212,15.2383,59.18,62,9,5.99
14,Port Lincoln,AU,2022-02-05 04:56:24,-34.7333,135.8667,74.35,54,6,10.63
15,Los Llanos De Aridane,ES,2022-02-05 04:59:11,28.6585,-17.9182,57.13,73,0,8.99
16,Marawi,PH,2022-02-05 05:00:24,7.9986,124.2928,74.64,53,67,8.01
17,Pundaguitan,PH,2022-02-05 05:00:30,6.3711,126.1689,81.0,78,69,17.4
18,Mackay,AU,2022-02-05 05:00:39,-21.15,149.2,85.68,66,81,19.62
19,Puerto Ayora,EC,2022-02-05 05:00:42,-0.7393,-90.3518,74.55,93,46,1.99
20,Itarema,BR,2022-02-05 05:00:43,-2.9248,-39.9167,78.48,81,54,10.85
21,Laguna,US,2022-02-05 05:00:44,38.421,-121.4238,53.96,71,0,0.0
22,Asau,RO,2022-02-05 04:58:42,46.4333,26.4,33.96,62,64,6.69
23,Lockhart,US,2022-02-05 05:00:45,28.6194,-81.4426,71.15,75,21,4.47
